Date,Time,Activity,Facility
dinsdag 13 mei 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 13 mei 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 13 mei 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 13 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 13 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 13 mei 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 13 mei 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 13 mei 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 13 mei 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 13 mei 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 13 mei 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 14 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 14 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 14 mei 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 14 mei 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 14 mei 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 14 mei 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 14 mei 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
woensdag 14 mei 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
woensdag 14 mei 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 14 mei 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 14 mei 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 14 mei 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 15 mei 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 15 mei 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 15 mei 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 15 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 15 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
donderdag 15 mei 2025,15:30 – 18:00,Zwemles,Trefkuil
donderdag 15 mei 2025,15:30 – 18:00,Zwemles,Spaardersbad
donderdag 15 mei 2025,19:45 – 20:30,Aquajoggen,Spaardersbad
donderdag 15 mei 2025,20:15 – 21:00,Zwanger & Fit,Trefkuil
vrijdag 16 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 16 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 16 mei 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 16 mei 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 16 mei 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 16 mei 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 17 mei 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 17 mei 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 17 mei 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 17 mei 2025,10:30 – 12:00,Diplomazwemmen ABC,1/2 Tobbe (buitenbadzijde)
zaterdag 17 mei 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 17 mei 2025,12:30 – 15:00,Zwemles,Spaardersbad
zondag 18 mei 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 18 mei 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zondag 18 mei 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 18 mei 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Trefkuil
zondag 18 mei 2025,12:00 – 14:00,Recreatief zwemmen,Trefkuil
zondag 18 mei 2025,12:00 – 14:00,Recreatief zwemmen,Spaardersbad
maandag 19 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 19 mei 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
maandag 19 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
maandag 19 mei 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 19 mei 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 19 mei 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
maandag 19 mei 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 19 mei 2025,11:00 – 12:00,Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 19 mei 2025,11:15 – 12:15,Warm water zwemmen,Trefkuil
maandag 19 mei 2025,13:00 – 13:45,Schoolzwemmen,Trefkuil
maandag 19 mei 2025,13:00 – 13:45,Schoolzwemmen,Spaardersbad
maandag 19 mei 2025,15:00 – 18:15,Zwemles,Trefkuil
maandag 19 mei 2025,15:00 – 18:15,Zwemles,Spaardersbad
maandag 19 mei 2025,18:30 – 22:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 19 mei 2025,19:20 – 20:05,Zwemles ABC voor volwassenen,Trefkuil
maandag 19 mei 2025,20:10 – 20:55,Zwemles ABC voor volwassenen,Trefkuil
maandag 19 mei 2025,21:00 – 22:00,Warm water zwemmen,Trefkuil
dinsdag 20 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 20 mei 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 20 mei 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 20 mei 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 20 mei 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 20 mei 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 20 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 20 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 20 mei 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 20 mei 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 20 mei 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 20 mei 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 20 mei 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 20 mei 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 21 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 21 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 21 mei 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 21 mei 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 21 mei 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 21 mei 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 21 mei 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
woensdag 21 mei 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
woensdag 21 mei 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 21 mei 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 21 mei 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 21 mei 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 22 mei 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 22 mei 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 22 mei 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 22 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 22 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
donderdag 22 mei 2025,15:30 – 18:00,Zwemles,Trefkuil
donderdag 22 mei 2025,15:30 – 18:00,Zwemles,Spaardersbad
donderdag 22 mei 2025,19:45 – 20:30,Aquajoggen,Spaardersbad
donderdag 22 mei 2025,20:15 – 21:00,Zwanger & Fit,Trefkuil
vrijdag 23 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 23 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 23 mei 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 23 mei 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 23 mei 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 23 mei 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 24 mei 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 24 mei 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 24 mei 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 24 mei 2025,10:30 – 12:00,Diplomazwemmen ABC,1/2 Tobbe (buitenbadzijde)
zaterdag 24 mei 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 24 mei 2025,12:30 – 15:00,Zwemles,Spaardersbad
zondag 25 mei 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 25 mei 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zondag 25 mei 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 25 mei 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Trefkuil
zondag 25 mei 2025,12:00 – 14:00,Recreatief zwemmen,Trefkuil
zondag 25 mei 2025,12:00 – 14:00,Recreatief zwemmen,Spaardersbad
maandag 26 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 26 mei 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
maandag 26 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
maandag 26 mei 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 26 mei 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 26 mei 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
